Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Individual,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,Tissue
SRR16918927,RNA-Seq,308,1731203012,PRJNA779703,SAMN23070858,811503725,Dark zone germinal center B cells,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX13111261,GSM5686877,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:04:00Z,1,GSM5686877,Tonsil,SRP345635,Tonsil
SRR16918928,RNA-Seq,308,1721089216,PRJNA779703,SAMN23070858,801712548,Dark zone germinal center B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX13111261,GSM5686877,DZ and LZ donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:14:00Z,1,GSM5686877,Tonsil,SRP345635,Tonsil
SRR16918929,RNA-Seq,308,2285070480,PRJNA779703,SAMN23070859,1040261139,Dark zone germinal center B cells,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX13111262,GSM5686878,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:14:00Z,1,GSM5686878,Tonsil,SRP345635,Tonsil
SRR16918930,RNA-Seq,308,2223435060,PRJNA779703,SAMN23070859,1012634897,Dark zone germinal center B cells,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX13111262,GSM5686878,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:13:00Z,1,GSM5686878,Tonsil,SRP345635,Tonsil
SRR16918931,RNA-Seq,308,2166864084,PRJNA779703,SAMN23070859,1005046098,Dark zone germinal center B cells,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX13111262,GSM5686878,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:12:00Z,1,GSM5686878,Tonsil,SRP345635,Tonsil
SRR16918932,RNA-Seq,308,2174955552,PRJNA779703,SAMN23070859,1012222021,Dark zone germinal center B cells,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX13111262,GSM5686878,DZ and LZ donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:15:00Z,1,GSM5686878,Tonsil,SRP345635,Tonsil
SRR16918933,RNA-Seq,308,2618367444,PRJNA779703,SAMN23070860,1150114614,Germinal Center B cells,GEO,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX13111263,GSM5686879,GC donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:09:00Z,1,GSM5686879,Tonsil,SRP345635,Tonsil
SRR16918934,RNA-Seq,308,2606108120,PRJNA779703,SAMN23070860,1146927611,Germinal Center B cells,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX13111263,GSM5686879,GC donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:17:00Z,1,GSM5686879,Tonsil,SRP345635,Tonsil
SRR16918935,RNA-Seq,308,2671531940,PRJNA779703,SAMN23070860,1182125710,Germinal Center B cells,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX13111263,GSM5686879,GC donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:13:00Z,1,GSM5686879,Tonsil,SRP345635,Tonsil
SRR16918936,RNA-Seq,308,2619938552,PRJNA779703,SAMN23070860,1165474135,Germinal Center B cells,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX13111263,GSM5686879,GC donor 1,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:17:00Z,1,GSM5686879,Tonsil,SRP345635,Tonsil
SRR16918937,RNA-Seq,308,1680213920,PRJNA779703,SAMN23070861,775809381,Germinal Center B cells,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX13111264,GSM5686880,GC donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:13:00Z,1,GSM5686880,Tonsil,SRP345635,Tonsil
SRR16918938,RNA-Seq,308,1667273608,PRJNA779703,SAMN23070861,762681489,Germinal Center B cells,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX13111264,GSM5686880,GC donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:06:00Z,1,GSM5686880,Tonsil,SRP345635,Tonsil
SRR16918939,RNA-Seq,308,1720293652,PRJNA779703,SAMN23070861,804000262,Germinal Center B cells,GEO,public,"run.zq,sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX13111264,GSM5686880,GC donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:06:00Z,1,GSM5686880,Tonsil,SRP345635,Tonsil
SRR16918940,RNA-Seq,308,1711357648,PRJNA779703,SAMN23070861,794301126,Germinal Center B cells,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX13111264,GSM5686880,GC donor 2,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-02-15T00:00:00Z,2021-11-11T13:13:00Z,1,GSM5686880,Tonsil,SRP345635,Tonsil
